f1,f2,algorithm,cv_auc
Race,LapTime (s),RandomForest,0.6957545092224665
Race,LapTime_Delta,LightGBM,0.784211165807802
Race,LapTime_Delta,LogReg,0.5181206036979672
Race,LapTime_Delta,DecisionTree,0.7439297302944617
Race,LapTime_Delta,RandomForest,0.7658441528344925
Race,Cumulative_Degradation,LightGBM,0.7844908278154104
Race,Cumulative_Degradation,LogReg,0.6109505718111573
Race,Cumulative_Degradation,DecisionTree,0.7019162392489935
Race,Cumulative_Degradation,RandomForest,0.7434300078939262
Race,RaceProgress,LightGBM,0.8206553623440311
Race,RaceProgress,LogReg,0.6643376232940603
Race,RaceProgress,DecisionTree,0.7436776411642879
Race,RaceProgress,RandomForest,0.777779800824673
Race,Position_Change,LightGBM,0.7365978670807829
Race,Position_Change,LogReg,0.5272964112113787
Race,Position_Change,DecisionTree,0.712628737600168
Race,Position_Change,RandomForest,0.7307755468519112
Year,PitStop,LightGBM,0.6989543765593652
Year,PitStop,LogReg,0.591599684950397
Year,PitStop,DecisionTree,0.6988338965973326
Year,PitStop,RandomForest,0.6988148845275484
Year,Stint,LightGBM,0.8360583538651396
Year,Stint,LogReg,0.6908504372503691
Year,Stint,DecisionTree,0.8592223655501129
Year,Stint,RandomForest,0.8592398025665009
Year,TyreLife,LightGBM,0.827808830382087
Year,TyreLife,LogReg,0.7025524143041012
Year,TyreLife,DecisionTree,0.8288706989779451
Year,TyreLife,RandomForest,0.8291115260005256
Year,Position,LightGBM,0.702770481923042
Year,Position,LogReg,0.5967020564785548
Year,Position,DecisionTree,0.7094978336081825
Year,Position,RandomForest,0.7108056617778479
Year,LapTime (s),LightGBM,0.7708936288072263
Year,LapTime (s),LogReg,0.6043909634021848
Year,LapTime (s),DecisionTree,0.7563380692552237
Year,LapTime (s),RandomForest,0.769074032108275
Year,LapTime_Delta,LightGBM,0.7543827747561056
Year,LapTime_Delta,LogReg,0.5937464980855314
Year,LapTime_Delta,DecisionTree,0.740156468123733
Year,LapTime_Delta,RandomForest,0.7545017358998012
Year,Cumulative_Degradation,LightGBM,0.7920356200129408
Year,Cumulative_Degradation,LogReg,0.6407367388574344
Year,Cumulative_Degradation,DecisionTree,0.7753161036361689
Year,Cumulative_Degradation,RandomForest,0.7909963854671312
Year,RaceProgress,LightGBM,0.8430842872798479
Year,RaceProgress,LogReg,0.6647730903481741
Year,RaceProgress,DecisionTree,0.8399447344594126
Year,RaceProgress,RandomForest,0.8421626784048842
Year,Position_Change,LightGBM,0.7037675169290176
Year,Position_Change,LogReg,0.602129993129749
Year,Position_Change,DecisionTree,0.7150542354371219
Year,Position_Change,RandomForest,0.7155415555264215
PitStop,Stint,LightGBM,0.7366471109198455
PitStop,Stint,LogReg,0.679969887314356
PitStop,Stint,DecisionTree,0.7492161425784803
PitStop,Stint,RandomForest,0.749233202427938
PitStop,TyreLife,LightGBM,0.7081032964757392
